Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
hyd01,"11/30/2025",14.76,159.4,22.31
hyd01,"12/01/2025",10.74,148.7,35.51
hyk02,"11/25/2025",39.91,343.3,113.05
hyk02,"11/26/2025",14.98,206.9,56.81
hyk02,"11/27/2025",16.59,128.3,107.98
hyk02,"11/28/2025",14.61,103.9,32.85
hyk02,"11/29/2025",36.62,313.3,106.28
hyk02,"11/30/2025",15.64,122.9,65.93
hyk02,"12/01/2025",20.76,339.6,114.37
idl01,"11/25/2025",33.67,335.7,119.79
idl01,"11/26/2025",14.54,187.9,74.51
idl01,"11/27/2025",15.04,134.0,88.78
idl01,"11/28/2025",15.55,139.6,36.09
idl01,"11/29/2025",31.99,343.1,116.2
idl01,"11/30/2025",17.56,128.9,74.72
idl01,"12/01/2025",22.93,341.0,119.91
ign01,"11/25/2025",11.44,264.0,101.27
ign01,"11/26/2025",13.53,242.0,106.71
ign01,"11/27/2025",7.91,142.5,110.53
ign01,"11/28/2025",15.13,257.2,117.01
ign01,"11/29/2025",16.07,303.8,125.93
ign01,"11/30/2025",14.34,242.4,43.75
ign01,"12/01/2025",13.5,233.0,121.53
ign02,"11/25/2025",-999,-999,-999
ign02,"11/26/2025",-999,-999,-999
ign02,"11/27/2025",-999,-999,-999
ign02,"11/28/2025",-999,-999,-999
ign02,"11/29/2025",-999,-999,-999
ign02,"11/30/2025",-999,-999,-999
ign02,"12/01/2025",-999,-999,-999
ilf01,"11/25/2025",34.56,89.2,113.15
ilf01,"11/26/2025",7.72,65.8,44.34
ilf01,"11/27/2025",17.78,36.1,81.36
ilf01,"11/28/2025",21.7,69.5,68.07
ilf01,"11/29/2025",30.65,28.9,110.49
ilf01,"11/30/2025",21.14,1.2,56.47
ilf01,"12/01/2025",23.38,114.0,112.79
jfn01,"11/25/2025",25.61,251.7,113.09
jfn01,"11/26/2025",43.51,267.1,124.51
jfn01,"11/27/2025",20.58,162.9,117.68
jfn01,"11/28/2025",31.21,230.8,112.11
jfn01,"11/29/2025",40.71,215.5,128.62
jfn01,"11/30/2025",17.78,323.5,71.23
jfn01,"12/01/2025",31.76,323.5,128.42
kln01,"11/25/2025",13.33,212.4,119.68
kln01,"11/26/2025",18.95,302.9,121.58
kln01,"11/27/2025",7.54,190.5,132.2
kln01,"11/28/2025",13.72,286.8,138.84
kln01,"11/29/2025",21.65,352.2,142.92
kln01,"11/30/2025",25.39,350.5,46.44
kln01,"12/01/2025",21.52,326.1,141.62
krk01,"11/25/2025",32.32,327.8,120.82
krk01,"11/26/2025",16.67,210.6,72.89
krk01,"11/27/2025",14.43,98.6,88.2
krk01,"11/28/2025",19.46,312.0,43.08
krk01,"11/29/2025",32.88,335.7,114.72
krk01,"11/30/2025",20.58,123.2,62.61
krk01,"12/01/2025",24.49,323.4,118.19
krm01,"11/25/2025",22.79,214.8,107.03
krm01,"11/26/2025",18.41,289.8,49.79
krm01,"11/27/2025",17.76,288.1,78.07
krm01,"11/28/2025",26.6,343.0,71.06
krm01,"11/29/2025",21.85,311.1,107.13
krm01,"11/30/2025",7.31,320.3,28.3
krm01,"12/01/2025",14.61,3.3,94.48
ksy01,"11/25/2025",28.97,349.7,111.95
ksy01,"11/26/2025",8.28,29.5,65.11
ksy01,"11/27/2025",13.87,67.3,62.62
ksy01,"11/28/2025",11.63,239.3,66.07
ksy01,"11/29/2025",36.8,4.6,109.44
ksy01,"11/30/2025",18.9,142.2,46.28
ksy01,"12/01/2025",9.4,226.3,109.09
ksy02,"11/25/2025",23.44,348.0,119.79
ksy02,"11/26/2025",6.65,54.1,67.8
ksy02,"11/27/2025",13.2,90.2,69.32
ksy02,"11/28/2025",19.24,324.2,70.54
ksy02,"11/29/2025",32.82,1.8,114.0
ksy02,"11/30/2025",17.39,130.9,46.9
ksy02,"12/01/2025",7.66,210.3,112.04
lam01,"11/25/2025",22.26,2.8,123.05
lam01,"11/26/2025",15.55,173.3,101.71
lam01,"11/27/2025",16.67,128.3,121.48
lam01,"11/28/2025",18.9,316.0,63.38
lam01,"11/29/2025",27.29,322.3,119.79
lam01,"11/30/2025",28.41,127.9,65.62
lam01,"12/01/2025",20.02,125.5,123.11
lam03,"11/25/2025",21.14,8.0,127.88
lam03,"11/26/2025",16.67,169.5,110.27
lam03,"11/27/2025",17.78,145.0,129.01
lam03,"11/28/2025",18.9,324.8,71.03
lam03,"11/29/2025",30.09,3.7,127.13
lam03,"11/30/2025",28.97,112.5,72.59
lam03,"12/01/2025",20.58,293.2,131.36
lam04,"11/25/2025",27.85,346.5,106.76
lam04,"11/26/2025",16.11,35.3,104.17
lam04,"11/27/2025",16.67,123.6,115.84
lam04,"11/28/2025",26.17,324.8,60.63
lam04,"11/29/2025",35.12,351.4,118.72
lam04,"11/30/2025",27.29,119.1,58.98
lam04,"12/01/2025",21.14,303.2,121.57
lar01,"11/25/2025",25.61,169.6,135.08
lar01,"11/26/2025",35.12,100.7,51.5
lar01,"11/27/2025",28.97,207.2,99.86
lar01,"11/28/2025",32.32,141.6,104.79
lar01,"11/29/2025",23.38,175.0,118.29
lar01,"11/30/2025",19.46,14.0,58.33
lar01,"12/01/2025",24.49,45.7,132.43
lbn01,"11/25/2025",19.08,269.7,144.88
lbn01,"11/26/2025",15.27,307.4,122.38
lbn01,"11/27/2025",11.33,55.7,140.43
lbn01,"11/28/2025",13.45,250.7,135.71
lbn01,"11/29/2025",18.05,327.0,140.26
lbn01,"11/30/2025",24.99,162.9,28.88
lbn01,"12/01/2025",20.76,289.1,142.77
lcn01,"11/25/2025",36.24,21.4,120.2
lcn01,"11/26/2025",8.84,43.4,62.41
lcn01,"11/27/2025",14.99,80.4,72.29
lcn01,"11/28/2025",27.85,320.4,70.04
lcn01,"11/29/2025",39.59,6.2,113.84
lcn01,"11/30/2025",17.22,106.4,44.21
lcn01,"12/01/2025",11.07,168.7,109.54
ljr01,"11/25/2025",9.4,106.8,125.08
ljr01,"11/26/2025",9.4,175.7,128.04
ljr01,"11/27/2025",6.04,11.2,132.25
ljr01,"11/28/2025",23.38,217.7,125.33
ljr01,"11/29/2025",13.31,131.3,137.76
ljr01,"11/30/2025",27.85,140.5,123.54
ljr01,"12/01/2025",22.82,1.2,133.6
ljt01,"11/25/2025",20.58,30.9,122.29
ljt01,"11/26/2025",9.95,69.4,107.01
ljt01,"11/27/2025",18.34,118.8,123.3
ljt01,"11/28/2025",11.63,351.5,66.73
ljt01,"11/29/2025",32.88,3.3,123.64
ljt01,"11/30/2025",30.09,128.0,80.19
ljt01,"12/01/2025",16.67,267.1,125.04
lms02,"11/25/2025",21.47,0.4,136.47
lms02,"11/26/2025",10.52,11.7,116.56
lms02,"11/27/2025",18.92,139.3,135.34
lms02,"11/28/2025",10.23,354.3,71.48
lms02,"11/29/2025",27.04,353.5,136.96
lms02,"11/30/2025",29.15,116.8,82.12
lms02,"12/01/2025",17.03,279.8,138.98
lsl01,"11/25/2025",26.17,19.2,112.7
lsl01,"11/26/2025",8.28,310.4,70.64
lsl01,"11/27/2025",10.51,43.0,63.5
lsl01,"11/28/2025",22.26,320.2,66.89
lsl01,"11/29/2025",30.65,350.9,110.78
lsl01,"11/30/2025",16.67,148.5,51.25
lsl01,"12/01/2025",9.95,209.9,107.11
mcl01,"11/25/2025",25.05,346.2,102.14
mcl01,"11/26/2025",13.31,30.1,103.85
mcl01,"11/27/2025",16.67,103.5,117.98
mcl01,"11/28/2025",25.05,333.7,63.17
mcl01,"11/29/2025",36.24,343.1,115.79
mcl01,"11/30/2025",27.85,115.0,63.88
mcl01,"12/01/2025",17.78,120.8,119.06
mkr01,"11/25/2025",10.02,65.7,86.33
mkr01,"11/26/2025",10.04,273.5,57.81
mkr01,"11/27/2025",13.11,182.1,112.62
mkr01,"11/28/2025",24.92,205.0,82.52
mkr01,"11/29/2025",18.81,40.9,102.78
mkr01,"11/30/2025",22.77,220.4,32.67
mkr01,"12/01/2025",10.46,46.3,105.9
mnc01,"11/25/2025",20.58,280.8,136.96
mnc01,"11/26/2025",18.9,265.8,116.81
mnc01,"11/27/2025",9.95,292.4,132.66
mnc01,"11/28/2025",17.22,302.9,127.78
mnc01,"11/29/2025",25.61,258.5,133.4
mnc01,"11/30/2025",17.22,302.6,28.48
mnc01,"12/01/2025",21.7,276.5,120.1
mtr01,"11/25/2025",11.07,279.1,120.7
mtr01,"11/26/2025",8.84,314.5,120.02
mtr01,"11/27/2025",7.72,344.6,128.24
mtr01,"11/28/2025",8.84,331.0,94.96
mtr01,"11/29/2025",9.95,323.2,126.09
mtr01,"11/30/2025",16.67,248.2,20.92
mtr01,"12/01/2025",11.07,273.3,103.99
nuc01,"11/25/2025",-999,-999,-999
nuc01,"11/26/2025",-999,-999,-999
